,img,instruction,block_n,animacy,style,img_name,verb
175,/static/object_pics/picture_veggie/tomato.jpg,semantic,10,inanimate,photo,tomato.jpg,squeeze
176,/static/object_pics/picture_fruit/papaya.jpg,perceptual,11,inanimate,photo,papaya.jpg,spread
177,/static/object_pics/drawing_fruit/grapes.jpg,semantic,11,inanimate,drawing,grapes.jpg,bounce
178,/static/object_pics/picture_mammal/squirrel.jpg,semantic,11,animate,photo,squirrel.jpg,drop
179,/static/object_pics/picture_insect/ladybug.jpg,semantic,11,animate,photo,ladybug.jpg,smooth
180,/static/object_pics/picture_bird/penguin.jpg,perceptual,11,animate,photo,penguin.jpg,knock
181,/static/object_pics/drawing_veggie/beetroot.jpg,perceptual,11,inanimate,drawing,beetroot.jpg,decorate
182,/static/object_pics/picture_fruit/banana.jpg,semantic,11,inanimate,photo,banana.jpg,give
183,/static/object_pics/drawing_sea/shark.jpg,perceptual,11,animate,drawing,shark.jpg,circle
184,/static/object_pics/picture_bird/penguin.jpg,semantic,11,animate,photo,penguin.jpg,knock
185,/static/object_pics/drawing_veggie/beetroot.jpg,semantic,11,inanimate,drawing,beetroot.jpg,decorate
186,/static/object_pics/drawing_fruit/grapes.jpg,perceptual,11,inanimate,drawing,grapes.jpg,bounce
187,/static/object_pics/picture_fruit/papaya.jpg,semantic,11,inanimate,photo,papaya.jpg,spread
188,/static/object_pics/picture_insect/ladybug.jpg,perceptual,11,animate,photo,ladybug.jpg,smooth
189,/static/object_pics/picture_fruit/banana.jpg,perceptual,11,inanimate,photo,banana.jpg,give
190,/static/object_pics/picture_mammal/squirrel.jpg,perceptual,11,animate,photo,squirrel.jpg,drop
191,/static/object_pics/drawing_sea/shark.jpg,semantic,11,animate,drawing,shark.jpg,circle
